class, age, sex, result
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,m,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,adu,f,surv
first,enf,m,surv
first,enf,m,surv
first,enf,m,surv
first,enf,m,surv
first,enf,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,m,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,adu,f,surv
second,enf,m,surv
second,enf,m,surv
second,enf,m,surv
second,enf,m,surv
second,enf,m,surv
second,enf,f,surv
second,enf,f,surv
second,enf,f,surv
second,enf,f,surv
second,enf,f,surv
second,enf,f,surv
second,enf,f,surv
second,enf,f,surv
second,enf,f,surv
second,enf,f,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
third,adu,m,surv
